Trade Id,Trade Type,Product Type,Book Legal Entity,Book,CounterParty,CounterParty.Parent Short Name,CounterParty.Attribute.Guarantor,CounterParty.Attribute.EADS_Sector,Pay Leg Principal,Pay Leg Principal Ccy,Rcv Leg Principal,Rcv Leg Principal Ccy,Trade Booking Date,Trade Settle Date,Maturity Date,Pay Leg Type,Rcv Leg Type,Pay Leg Fixed Rate,Pay Leg Floating Rate,Pay Leg DayCount,Rate Index,Rate Index Tenor,Rcv Leg Floating Rate,Rcv Leg Fixed Rate,Rcv Leg DayCount,Rate Index Spread,Pricer.ACCRUAL_PAYLEG,Pricer.ACCRUAL_RECLEG,TradeStatus,Pricer.NPV,Pay Leg Compound Type,Pay Leg Index Frequency,Pay Leg Payment Bus Day Calendar,Pay Leg Payment Bus Day Convention,Pay Leg Payment Frequency,Prin Sched Type,Rcv Leg Compound Type,Rcv Leg Fixing Convention,Rcv Leg Payment Bus Day Calendar,Rcv Leg Payment Bus Day Convention,Rcv Leg Payment Frequency
3234354,Buy,Swap,EADSNV,NV_LIABEXT,ROYC_FR_PAR,ROYC_CA_TOR,ROYC_CA_TOR,,"50,000,000",EUR,"50,000,000",EUR,02/07/2021,06/07/2021,09/06/2040,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,2.375000,ACTB/ACTB,1.953000,"(158,077.78)","774,315.07",VERIFIED,"(3,439,005.84)",NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
3230646,Buy,Swap,EADSNV,NV_LIABEXT,BBVA_ES_MAD,,BBVA_ES_MAD,BANKS,"100,000,000",EUR,"100,000,000",EUR,01/07/2021,05/07/2021,09/06/2040,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,2.375000,ACTB/ACTB,1.925000,"(309,777.78)","1,555,136.99",VERIFIED,"(6,378,418.02)",NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
3201952,Buy,Swap,EADSNV,NV_LIABEXT,NATX_FR_PAR,BPCE_FR_PAR,NATX_FR_PAR,BANKS,"100,000,000",EUR,"100,000,000",EUR,02/06/2021,04/06/2021,07/04/2032,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,2.375000,ACTB/ACTB,2.237500,"(244,609.72)","1,756,849.32",VERIFIED,"(4,222,468.01)",NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
3201988,Buy,Swap,EADSNV,NV_LIABEXT,LLCM_GB_LON,,LLCM_GB_LON,,"50,000,000",EUR,"50,000,000",EUR,02/06/2021,04/06/2021,07/04/2032,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,2.375000,ACTB/ACTB,2.250000,"(123,225.00)","878,424.66",VERIFIED,"(2,174,776.11)",NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
3201953,Buy,Swap,EADSNV,NV_LIABEXT,HYVE_DE_MUC,,HYVE_DE_MUC,BANKS,"100,000,000",EUR,"100,000,000",EUR,02/06/2021,04/06/2021,07/04/2032,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,2.375000,ACTB/ACTB,2.244500,"(245,640.28)","1,756,849.32",VERIFIED,"(4,293,635.17)",NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
3209772,Buy,Swap,EADSNV,NV_LIABEXT,MSSE_DE_FRA,MSCS_US_NYC,MSSE_DE_FRA,,"100,000,000",EUR,"100,000,000",EUR,03/06/2021,07/06/2021,07/04/2032,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,2.375000,ACTB/ACTB,2.240000,"(244,977.78)","1,737,328.77",VERIFIED,"(4,267,415.55)",NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
3065837,Buy,Swap,1755,1755_BOOK,EADSNV,BU_HQ,EADSNV,,"20,300,000",EUR,"20,300,000",EUR,27/01/2021,31/01/2021,22/05/2031,Fixed,Float,-0.336000,,30/360,EURIBOR,1M,EUR/EURIBOR/1M/EURIBOR01,,ACT/360,0.000000,530.18,(288.23),VERIFIED,"961,285.03",NO_COMPOUND,,"[TARGET, MUC]",MOD_FOLLOW,MTH,Schedule,NO_COMPOUND,Bus,"[TARGET, MUC]",MOD_FOLLOW,MTH
3082400,Buy,Swap,EADSNV,NV_LIABEXT,TDOM_IE_DUB,TDOM_CA_TOR,TDOM_CA_TOR,,"100,000,000",USD,"100,000,000",USD,26/04/2017,28/04/2017,10/04/2027,Float,Fixed,,USD/LIBOR/3M/LIBOR01,ACT/360,LIBOR,3M,,2.279000,30/360,0.000000,"(32,123.61)","892,608.33",VERIFIED,"3,726,599.41",NO_COMPOUND,3M,[NYC],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,"[NYC, TOR, ZUR]",FOLLOWING,SA
1652376,Buy,Swap,EADSNV,NV_LIABEXT,BYLA_DE_MUC,,BYLA_DE_MUC,BANKS,"100,000,000",USD,"100,000,000",USD,26/04/2017,28/04/2017,10/04/2027,Float,Fixed,,USD/LIBOR/3M/LIBOR01,ACT/360,LIBOR,3M,,2.275000,30/360,0.000000,"(32,123.61)","891,041.67",VERIFIED,"3,705,188.37",NO_COMPOUND,3M,"[LON, NYC]",MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,"[LON, NYC]",FOLLOWING,SA
2412565,Buy,Swap,EADSNV,NV_MICRO,1755,BU_HQ,EADSNV,,"13,800,000",USD,"13,800,000",USD,29/10/2019,31/10/2019,25/08/2025,Float,Fixed,,USD/LIBOR/1M/LIBOR01,ACT/360,LIBOR,1M,,1.490000,ACT/360,0.000000,(234.61),"1,870.78",VERIFIED,"(32,495.53)",NO_COMPOUND,1M,[NYC],FOLLOWING,MTH,Schedule,NO_COMPOUND,Bus,[NYC],FOLLOWING,QTR
