TradeStatus,Trade Id,Product Type,Put/Call,Buy/Sell,Prim Cur,Sec Cur,Prim Amt,Sec Amt,FX Spot Rate,FXFwdRate,Trade Booking Date,Trade Settle Date,Maturity Date,FX Prim Amount,FX Sec Amount,FX Near AllIn Rate,FX Far Sec Amount,FX Far Prim Amount,FX Far AllIn Rate,Maturity Year,Book Legal Entity,Book,TRADE_KEYWORD.EADS_STRATEGY,CounterParty,CounterParty.Attribute.EADS_Sector,CounterParty.Parent Short Name,CounterParty.Attribute.Guarantor,TRADE_KEYWORD.EADS_EXPOSURE,Pricer.NPV,Premium Amount,Premium Currency,Premium Date,Strike,Barrier.Down Rate,Barrier.Up Rate,Market Rate,TRADE_KEYWORD.EADS_MDRT_REF,Mirror Book,Mirror Trade Id,ClientPricer.FWD_DELTA,ClientPricer.INTRINSIC_VALUE
VERIFIED,2114840,FXForward,,Buy,EUR,USD,1568835.15,-2000000.00,1.14,1.27,05/02/2019,03/01/2023,03/01/2023,1568835.15,-2000000.00,1.27,,,,23,EADSNV,NV_MICRO,TC2019,LBBW_DE_STR,BANKS,,LBBW_DE_STR,FIRM,-231302.23,,,,,,,0.00,2019020514538,,0,-1568835.15,0.00
VERIFIED,2103020,FXForward,,Buy,EUR,USD,18830914.08,-24000000.00,1.14,1.27,18/01/2019,04/01/2023,04/01/2023,18830914.08,-24000000.00,1.27,,,,23,EADSNV,NV_MICRO,TC2019,WPAC_AU_SYD,BANKS,,WPAC_AU_SYD,FIRM,-2768627.30,,,,,,,0.00,201901191100,,0,-18830914.08,0.00
VERIFIED,2079191,FXForward,,Buy,EUR,USD,19213833.96,-24000000.00,1.13,1.25,14/12/2018,03/05/2022,03/05/2022,19213833.96,-24000000.00,1.25,,,,22,EADSNV,NV_MICRO,TC2018,COBA_DE_FRA,BANKS,,COBA_DE_FRA,FIRM,-2617327.99,,,,,,,0.00,201812141057,,0,-19213833.96,0.00
VERIFIED,2104473,FXForward,,Buy,EUR,USD,27563612.88,-35000000.00,1.14,1.27,22/01/2019,04/01/2023,04/01/2023,27563612.88,-35000000.00,1.27,,,,23,EADSNV,NV_MICRO,TC2019,CMCI_FR_PAR,BANKS,BFCM_FR_PAR,CMCI_FR_PAR,FIRM,-3924004.71,,,,,,,0.00,201901221457,,0,-27563612.88,0.00
VERIFIED,2143381,FXForward,,Sell,USD,CAD,-550000.00,719064.06,1.34,1.31,13/03/2019,18/07/2022,18/07/2022,-550000.00,719064.06,1.31,,,,22,EADSNV,NV_MICRO,others,GSIL_GB_LON,BANKS,GSGI_US_NYC,GSIL_GB_LON,FIRM,21335.04,,,,,,,0.00,1360-72596-WP,,0,550000.00,0.00
VERIFIED,2146309,FXForward,,Buy,EUR,USD,29154518.95,-36000000.00,1.13,1.23,14/03/2019,02/05/2022,02/05/2022,29154518.95,-36000000.00,1.23,,,,22,EADSNV,NV_MICRO,TC2019,WPAC_AU_SYD,BANKS,,WPAC_AU_SYD,FIRM,-3556124.28,,,,,,,0.00,201903141353,,0,-29154518.95,0.00
VERIFIED,2143452,FXForward,,Sell,USD,CAD,-500000.00,651353.20,1.34,1.30,13/03/2019,12/06/2023,12/06/2023,-500000.00,651353.20,1.30,,,,23,EADSNV,NV_MICRO,others,GSIL_GB_LON,BANKS,GSGI_US_NYC,GSIL_GB_LON,FIRM,15583.86,,,,,,,0.00,1360-72605-WP,,0,500000.00,0.00
VERIFIED,2139909,FXForward,,Buy,EUR,USD,3937007.87,-5000000.00,1.12,1.27,08/03/2019,01/09/2023,01/09/2023,3937007.87,-5000000.00,1.27,,,,23,EADSNV,NV_MICRO,TC2019,JPMS_GB_LON,BANKS,CHAS_US_NYC,CHAS_US_NYC,FIRM,-499902.05,,,,,,,0.00,20190308161613,,0,-3937007.87,0.00
VERIFIED,2165637,FXForward,,Buy,EUR,USD,28734452.61,-35000000.00,1.12,1.22,01/04/2019,01/04/2022,01/04/2022,28734452.61,-35000000.00,1.22,,,,22,EADSNV,NV_MICRO,TC2019,SOGE_FR_PAR,BANKS,,SOGE_FR_PAR,FIRM,-3060203.34,,,,,,,0.00,201904011444,,0,-28734452.61,0.00
VERIFIED,2147643,FXForward,,Buy,EUR,USD,16954626.19,-21000000.00,1.13,1.24,15/03/2019,01/06/2022,01/06/2022,16954626.19,-21000000.00,1.24,,,,22,EADSNV,NV_MICRO,TC2019,NATX_FR_PAR,BANKS,BPCE_FR_PAR,NATX_FR_PAR,FIRM,-2109598.96,,,,,,,0.00,20190315102139,,0,-16954626.19,0.00
VERIFIED,2140853,FXForward,,Buy,EUR,USD,19063505.30,-24000000.00,1.12,1.26,11/03/2019,03/04/2023,03/04/2023,19063505.30,-24000000.00,1.26,,,,23,EADSNV,NV_MICRO,TC2019,NATX_FR_PAR,BANKS,BPCE_FR_PAR,NATX_FR_PAR,FIRM,-2397053.51,,,,,,,0.00,201903111459,,0,-19063505.30,0.00
VERIFIED,2195056,FXForward,,Buy,EUR,USD,28787629.54,-35000000.00,1.12,1.22,02/05/2019,03/05/2022,03/05/2022,28787629.54,-35000000.00,1.22,,,,22,EADSNV,NV_MICRO,TC2019,BSCH_ES_MAD,BANKS,,BSCH_ES_MAD,FIRM,-2963823.91,,,,,,,0.00,2019050215156,,0,-28787629.54,0.00
VERIFIED,2210540,FXForward,,Buy,EUR,USD,30149934.81,-37000000.00,1.12,1.23,17/05/2019,03/01/2023,03/01/2023,30149934.81,-37000000.00,1.23,,,,23,EADSNV,NV_MICRO,TC2019,SOGE_FR_PAR,BANKS,,SOGE_FR_PAR,FIRM,-3023086.95,,,,,,,0.00,20190517090033,,0,-30149934.81,0.00
VERIFIED,2201056,FXForward,,Sell,EUR,USD,-2227356.93,2750000.00,1.12,1.23,06/05/2019,15/02/2023,15/02/2023,-2227356.93,2750000.00,1.23,,,,23,EADSNV,NV_MICRO,Bulk2023,GSIL_GB_LON,BANKS,GSGI_US_NYC,GSIL_GB_LON,FIRM,233358.98,,,,,,,0.00,1455-74737-WP,,0,2227356.93,0.00
VERIFIED,2181372,FXForward,,Buy,EUR,USD,24091354.42,-30000000.00,1.13,1.25,10/04/2019,04/01/2023,04/01/2023,24091354.42,-30000000.00,1.25,,,,23,EADSNV,NV_MICRO,TC2019,CITI_GB_LON,BANKS,CITI_US_NYC,CITI_US_NYC,FIRM,-2844514.10,,,,,,,0.00,20190410081230,,0,-24091354.42,0.00
VERIFIED,2187288,FXForward,,Buy,EUR,USD,28606456.89,-35000000.00,1.12,1.22,18/04/2019,03/05/2022,03/05/2022,28606456.89,-35000000.00,1.22,,,,22,EADSNV,NV_MICRO,TC2019,BARC_GB_LON,BANKS,,BARC_GB_LON,FIRM,-3165217.74,,,,,,,0.00,201904181633,,0,-28606456.89,0.00
VERIFIED,2179464,FXForward,,Sell,EUR,GBP,-430148.56,390000.00,0.86,0.91,08/04/2019,27/02/2023,27/02/2023,-430148.56,390000.00,0.91,,,,23,EADSNV,NV_MICRO,MILAN 4,GSIL_GB_LON,BANKS,GSGI_US_NYC,GSIL_GB_LON,FIRM,24648.66,,,,,,,0.00,20190408110156_02,,0,430148.56,0.00
VERIFIED,2201625,FXForward,,Buy,EUR,USD,30702108.75,-38000000.00,1.12,1.24,07/05/2019,01/02/2023,01/02/2023,30702108.75,-38000000.00,1.24,,,,23,EADSNV,NV_MICRO,TC2019,BNPA_FR_PAR,BANKS,,BNPA_FR_PAR,FIRM,-3337236.60,,,,,,,0.00,20190507112255,,0,-30702108.75,0.00
VERIFIED,2201664,FXForward,,Buy,EUR,USD,29090337.29,-37000000.00,1.12,1.27,07/05/2019,02/04/2024,02/04/2024,29090337.29,-37000000.00,1.27,,,,24,EADSNV,NV_MICRO,TC2019,BOTK_GB_LON,BANKS,BOTK_JP_TYO,BOTK_JP_TYO,FIRM,-3364444.40,,,,,,,0.00,201905071116,,0,-29090337.29,0.00
VERIFIED,2195003,FXForward,,Buy,EUR,USD,28823190.32,-35000000.00,1.12,1.21,02/05/2019,01/04/2022,01/04/2022,28823190.32,-35000000.00,1.21,,,,22,EADSNV,NV_MICRO,TC2019,GSIL_GB_LON,BANKS,GSGI_US_NYC,GSIL_GB_LON,FIRM,-2961587.68,,,,,,,0.00,20190502135325,,0,-28823190.32,0.00
VERIFIED,2200893,FXForward,,Buy,EUR,USD,18841828.83,-23000000.00,1.12,1.22,06/05/2019,01/08/2022,01/08/2022,18841828.83,-23000000.00,1.22,,,,22,EADSNV,NV_MICRO,TC2019,SOGE_FR_PAR,BANKS,,SOGE_FR_PAR,FIRM,-1948179.65,,,,,,,0.00,20190506095045,,0,-18841828.83,0.00
VERIFIED,2222775,FXForward,,Buy,EUR,USD,28368794.33,-35000000.00,1.12,1.23,22/05/2019,01/03/2023,01/03/2023,28368794.33,-35000000.00,1.23,,,,23,EADSNV,NV_MICRO,TC2019,WPAC_AU_SYD,BANKS,,WPAC_AU_SYD,FIRM,-2921773.61,,,,,,,0.00,201905221456,,0,-28368794.33,0.00
VERIFIED,2221447,FXForward,,Buy,EUR,USD,816768.19,-1000000.00,1.12,1.22,22/05/2019,01/11/2022,01/11/2022,816768.19,-1000000.00,1.22,,,,22,EADSNV,NV_MICRO,CASHFLOWHEDGE,BBVA_ES_MAD,BANKS,,BBVA_ES_MAD,FIRM,-83115.21,,,,,,,0.00,20190522112726,,0,-816768.19,0.00
VERIFIED,2242421,FXForward,,Buy,EUR,USD,28157683.02,-35000000.00,1.12,1.24,03/06/2019,03/01/2024,03/01/2024,28157683.02,-35000000.00,1.24,,,,24,EADSNV,NV_MICRO,TC2019,SCBL_GB_LON,BANKS,SCGP_GB_LON,SCBL_GB_LON,FIRM,-2618437.30,,,,,,,0.00,20190603122654,,0,-28157683.02,0.00
VERIFIED,2223840,FXForward,,Buy,EUR,USD,28365345.65,-35000000.00,1.12,1.23,22/05/2019,01/03/2023,01/03/2023,28365345.65,-35000000.00,1.23,,,,23,EADSNV,NV_MICRO,TC2019,COBA_DE_FRA,BANKS,,COBA_DE_FRA,FIRM,-2925619.30,,,,,,,0.00,201905221629,,0,-28365345.65,0.00
VERIFIED,2242414,FXForward,,Buy,EUR,USD,28180354.27,-35000000.00,1.12,1.24,03/06/2019,03/01/2024,03/01/2024,28180354.27,-35000000.00,1.24,,,,24,EADSNV,NV_MICRO,TC2019,DEUT_DE_FRA,BANKS,,DEUT_DE_FRA,FIRM,-2593134.38,,,,,,,0.00,20190603122652,,0,-28180354.27,0.00
VERIFIED,2241288,FXForward,,Buy,EUR,USD,12302359.52,-15000000.00,1.12,1.22,31/05/2019,01/02/2023,01/02/2023,12302359.52,-15000000.00,1.22,,,,23,EADSNV,NV_MICRO,TC2019,SOGE_FR_PAR,BANKS,,SOGE_FR_PAR,FIRM,-1113148.75,,,,,,,0.00,2019053118064,,0,-12302359.52,0.00
VERIFIED,2241279,FXForward,,Buy,EUR,USD,24569018.47,-30000000.00,1.12,1.22,31/05/2019,01/03/2023,01/03/2023,24569018.47,-30000000.00,1.22,,,,23,EADSNV,NV_MICRO,TC2019,ROYC_GB_LON,BANKS,ROYC_CA_TOR,ROYC_CA_TOR,FIRM,-2222352.98,,,,,,,0.00,20190531170313,,0,-24569018.47,0.00
VERIFIED,2221249,FXForward,,Buy,EUR,USD,20215088.54,-25000000.00,1.12,1.24,22/05/2019,03/04/2023,03/04/2023,20215088.54,-25000000.00,1.24,,,,23,EADSNV,NV_MICRO,TC2019,ROYC_GB_LON,BANKS,ROYC_CA_TOR,ROYC_CA_TOR,FIRM,-2098481.37,,,,,,,0.00,201905221037,,0,-20215088.54,0.00
VERIFIED,2254880,FXForward,,Buy,EUR,USD,784834.49,-1000000.00,1.13,1.27,06/06/2019,03/09/2024,03/09/2024,784834.49,-1000000.00,1.27,,,,24,EADSNV,NV_MICRO,CASHFLOWHEDGE,BYLA_DE_MUC,BANKS,,BYLA_DE_MUC,FIRM,-86222.76,,,,,,,0.00,2019060614464,,0,-784834.49,0.00
VERIFIED,2268083,FXForward,,Buy,EUR,USD,28573761.12,-35000000.00,1.12,1.22,17/06/2019,01/03/2023,01/03/2023,28573761.12,-35000000.00,1.22,,,,23,EADSNV,NV_MICRO,TC2019,CTBA_GB_LON,BANKS,CTBA_AU_SYD,CTBA_AU_SYD,FIRM,-2693210.66,,,,,,,0.00,201906171119,,0,-28573761.12,0.00
VERIFIED,2308537,FXForward,,Sell,EUR,USD,-23235567.75,28000000.00,1.13,1.21,05/07/2019,02/05/2022,02/05/2022,-23235567.75,28000000.00,1.21,,,,22,EADSNV,NV_MICRO,TC2019,GSIL_GB_LON,BANKS,GSGI_US_NYC,GSIL_GB_LON,FIRM,2143562.74,,,,,,,0.00,20190705114828,,0,23235567.75,0.00
VERIFIED,2300465,FXForward,,Buy,EUR,USD,23001269.04,-29000000.00,1.14,1.26,01/07/2019,03/01/2024,03/01/2024,23001269.04,-29000000.00,1.26,,,,24,EADSNV,NV_MICRO,TC2019 - A350_Disqualified as of 01.01.2021,INGB_NL_AMS,BANKS,,INGB_NL_AMS,FIRM,-2534570.99,,,,,,,0.00,20190701133715_07,,0,-23001269.04,0.00
VERIFIED,2300457,FXForward,,Buy,EUR,USD,8141764.40,-10000000.00,1.13,1.23,01/07/2019,01/11/2022,01/11/2022,8141764.40,-10000000.00,1.23,,,,22,EADSNV,NV_MICRO,TC2019,BYLA_DE_MUC,BANKS,,BYLA_DE_MUC,FIRM,-860026.50,,,,,,,0.00,20190701133715_03,,0,-8141764.40,0.00
VERIFIED,2309167,FXForward,,Buy,EUR,USD,19898153.29,-25000000.00,1.12,1.26,08/07/2019,01/03/2024,01/03/2024,19898153.29,-25000000.00,1.26,,,,24,EADSNV,NV_MICRO,TC2019,HYVE_DE_MUC,BANKS,,HYVE_DE_MUC,FIRM,-2035810.36,,,,,,,0.00,20190708102712,,0,-19898153.29,0.00
