Version	Date	Time	Author	Comment
156	27-Mar-2018	21:45	Philip Swannell	Added argument ExcludeZeroReturns to method ISDASIMMReturnsFromFile. Also arranged that the stress period appears at the top of the return, rather than at the bottom, as was previously the case - this makes comparison with Satori results more starightforward.
155	27-Mar-2018	19:55	Philip Swannell	Added argument NaiveLag to ISDASIMMReturnsFromFile
154	23-Mar-2018	13:48	Philip Swannell	Added method ISDASIMMMeltCorrelationMatrix
153	22-Mar-2018	17:45	Philip Swannell	Implemented MinimumDataCount in method ISDASIMMReturnsFromFile
152	21-Mar-2018	14:57	Philip Swannell	Added methods ISDASIMMRiskWeightsFromFiles, ISDASIMMNumFilesMatchingFilter, ISDASIMMNumSeriesInFiles
151	21-Mar-2018	09:24	Philip Swannell	Correction to error handling in method ISDASIMMRiskWeightsFromFile.
150	20-Mar-2018	15:56	Philip Swannell	BERT.Version > BERT.version
149	20-Mar-2018	15:50	Philip Swannell	Tweak to method CleanOutREnvironment to not remove BERT.Version
148	19-Mar-2018	16:13	Philip Swannell	Fix to method TestInstallation to throw an error if Windows Decimal Separator and List Separator are not . and , respectively.
147	15-Mar-2018	17:40	Philip Swannell	Method TestInstallation checks specifically for BERT 1.63.
146	15-Mar-2018	12:34	Philip Swannell	Bug fixes in ISDASIMMReturnsFromFile - was not correctly coping with "preamble" in file.
145	14-Mar-2018	14:19	Philip Swannell	Changes in modISDASIMM to cope with arbitrary date format in their files and also to cope with preamble lines in the files.
144	05-Mar-2018	09:23	Philip Swannell	Released work done at home.
143	02-Mar-2018	15:14	Philip Swannell	Change to method SourceRCode
142	27-Feb-2018	13:23	Philip Swannell	Reform of R source file names, cont.
141	23-Feb-2018	17:45	Philip Swannell	Reform of R source file names, cont.
140	23-Feb-2018	17:36	Philip Swannell	Reform of R source file names.
139	21-Feb-2018	09:48	Philip Swannell	Moved globals gWHATIF and gSELF from SCRiPT workbook to here so that we can access them from MarketDataWorkbook.
138	21-Feb-2018	09:18	Philip Swannell	Changed method ShowLogFiles.
137	08-Feb-2018	14:40	Philip Swannell	input_DoLogging -> gDoLogging
136	12-Jan-2018	09:57	Philip Swannell	Code comments only.
135	11-Jan-2018	10:01	Philip Swannell	SCRiPT_NextIMMDate now has WithSerial argument.
134	10-Jan-2018	15:45	Philip Swannell	Added functions SCRiPT_DateSchedule, SCRiPT_AdjustDate, SCRiPT_NextIMMDate.
133	12-Dec-2017	12:10	Philip Swannell	sKendallTauR > sKendallTau.
132	11-Dec-2017	17:03	Philip Swannell	Improved error handling in ISDASIMMRiskWeightsFromFile.
131	11-Dec-2017	16:21	Philip Swannell	Fix to ISDASIMMDeltaInterBucketCorrelations that had been broken by switch to BERT.
130	11-Dec-2017	10:19	Philip Swannell	Changes to functions InferNotionalSchedule and FindClosest, they were both using undocumented and no-longer supported feature of sInterp, Was breaking ability of SCRiPT to open Calypso files.
129	11-Dec-2017	09:28	Philip Swannell	Change to TestInstallation to detect being called during Excel launch.
128	07-Dec-2017	17:33	Philip Swannell	No longer hard-code list of required packages here, use gPackages instead, cont.
127	07-Dec-2017	17:22	Philip Swannell	No longer hard-code list of required packages here, use gPackages instead.
126	07-Dec-2017	17:06	Philip Swannell	Replace all code in modRelease with call to modRelease in SolumAddin. Step 2.
125	07-Dec-2017	17:02	Philip Swannell	Replace all code in modRelease with call to modRelease in SolumAddin. Step 1.
124	06-Dec-2017	15:10	Philip Swannell	Code comments.
123	06-Dec-2017	15:01	Philip Swannell	Help for SCRiPT_Results.
122	06-Dec-2017	11:51	Philip Swannell	Added SCRiPT_Results - a wrapper to the R function of the same name.
121	04-Dec-2017	13:40	Philip Swannell	More work on MRUs for release comments.
120	01-Dec-2017	17:09	Philip Swannell	Ran CodeCleaner from "Ribbon Commander" since Rob Bovey's version is not 64-bit compatible?
119	30-Nov-2017	14:26	Philip Swannell	Changes to calls to CheckR.
118	30-Nov-2017	10:37	Philip Swannell	SCRiPT_SwapRate can now return the Annuity factor.
117	29-Nov-2017	14:49	Philip Swannell	Help for SCRiPT_LIBOR and SCRiPT_SwapRate
116	29-Nov-2017	12:31	Philip Swannell	Added Help sheet
115	28-Nov-2017	16:46	Philip Swannell	Added functions SCRiPT_LIBOR and SCRiPT_SwapRate
114	28-Nov-2017	10:28	Philip Swannell	sDiscountFactor > SCRiPT_DF, sSurvivalProbability > SCRiPT_SurvProb
113	28-Nov-2017	10:06	Philip Swannell	Methods sDiscountFactor and sSurvivalProbability now respect the "shape" of the input Dates.
112	27-Nov-2017	14:49	Philip Swannell	Better error handling in sDiscountFactor and sSurvivalProbability.
111	27-Nov-2017	12:18	Philip Swannell	Tweaks to method TestInstallation.
110	27-Nov-2017	11:50	Philip Swannell	Upped MINVERSIONMDW to 172 for new addin names.
109	27-Nov-2017	10:45	Philip Swannell	Changing installation procedure for Solum software - now use AltStartupPath. Hence need to change name of this addin from SCRiPTUtils.xlam to SolumSCRiPTUtils.xlam, so that load alphabetical load order is in synch with dependencies between addins.
108	24-Nov-2017	16:52	Philip Swannell	Simplified methods sDiscountFactor and sSurvivalProbability
107	24-Nov-2017	15:53	Philip Swannell	Tweak to sDiscountFactor
106	24-Nov-2017	15:42	Philip Swannell	Added function sDiscountFactor
105	24-Nov-2017	11:56	Philip Swannell	sSurvivalProbability now returns two columns of dates & probs if argument Dates is omitted.
104	24-Nov-2017	11:15	Philip Swannell	Bug fixes to sSurvivalProbability
103	23-Nov-2017	16:27	Philip Swannell	Added method sSurvivalProbability, will be replacement for existing method SurvivalProbability in SCRiPT.xlsm.
102	17-Nov-2017	17:34	Philip Swannell	Change to method TestInstallation - no longer have to point the user to tagged version of BERT, since fix has found its way into BERT 1.63.
101	13-Nov-2017	16:27	Philip Swannell	Moved modules modR, modKendallTau and modPivot from this addin to SolumAddin.
100	13-Nov-2017	09:56	Philip Swannell	Released work done at home over the weekend.
99	12-Nov-2017	19:10	Philip Swannell	sFilePivot now good for APG project.
98	11-Nov-2017	12:56	Philip Swannell	Started work on sPivotFile
97	05-Oct-2017	16:48	Philip Swannell	Changes for BERT 1.62.2 - no longer have to work-around crash bug.
96	04-Oct-2017	12:50	Philip Swannell	Upped MINVERSIONMDW to 169, for compatibility with BERT.
95	03-Oct-2017	12:53	Philip Swannell	Added method GetDataframe as work-around for bug in BERT 1.62.1
94	02-Oct-2017	16:30	Philip Swannell	Changes to sExecuteRCode and SaveDataframe for compatibility with BERT 1.62.1
93	02-Oct-2017	13:36	Philip Swannell	Change to method TestInstallation to check that the version of BERT installed does not do truncation and padding
92	29-Sep-2017	13:33	Philip Swannell	Changes to sExecuteRCode
91	25-Sep-2017	11:33	Philip Swannell	Removed reference to SolumSCRiPT.tlb.
90	25-Sep-2017	09:57	Philip Swannell	Changes to method TestInstallation
89	22-Sep-2017	16:39	Philip Swannell	Changes so that we no longer use Paul's C# addin, SolumSCRiPTExcel-AddIn.xll. Instead we use BERT from http://bert-toolkit.com.
88	21-Sep-2017	13:46	Philip Swannell	Changes for change of installation target from c:\Program Files\Solum to c:\ProgramData\Solum
87	21-Sep-2017	09:38	Philip Swannell	Tweak to method To1Based2D
86	20-Sep-2017	17:04	Philip Swannell	Wrap Paul's EvaluateExpression as sExecuteRCode.
85	30-Aug-2017	14:00	Philip Swannell	Method ISDASIMMRiskWeightsFromFile now has argument ExcludeZeroReturns, defaulting to FALSE.
84	20-Jul-2017	14:09	Philip Swannell	In modISDASIMM changed UseLegacyPercentile to PercentileMethod to allow for use of CENTRAL percentiles which, according to MWB, are to be preferred to either PERCENTILE.INC or PERCENTILE.EXC as unbiased estimators of population percentiles.
83	16-Jul-2017	10:50	Philip Swannell	Fix to error handling in ISDASIMMReturnsFromFile
82	16-Jul-2017	09:12	Philip Swannell	Bug fix to ISDASIMMReturnsFromTimeSeries to correctly handle zero values when calculating returns.
81	14-Jul-2017	15:37	Philip Swannell	Work in modISDASIMM - improved error messages when seeking risk weights for a risk class that's not listed in a returns file.
80	13-Jul-2017	17:21	Philip Swannell	Changes in method ISDASIMMFxTradingWeights.
79	13-Jul-2017	16:27	Philip Swannell	60 times speedup to function ISDASIMMDeltaInterBucketCorrelations by calling R function KendallTau which calls cor.fk in package pcaPP.
78	12-Jul-2017	16:35	Philip Swannell	Work in modISDASIMM
77	11-Jul-2017	12:33	Philip Swannell	Changes to sKendallTau to call my R function KendallTau which wraps cor.fk in package pcaPP. Much faster (30 to 40 times) for the use cases we have on the ISDASIMM project.
76	10-Jul-2017	20:12	Philip Swannell	Fix to sKendallTauR in the case when Data has one column and Data2 is omitted.
75	10-Jul-2017	10:48	Philip Swannell	Work in modISDASIMM - added method SortTenures
74	09-Jul-2017	19:17	Philip Swannell	Work in modISDASIMM
73	08-Jul-2017	19:13	Philip Swannell	Work in modISDASIMM
72	08-Jul-2017	09:50	Philip Swannell	Work in modISDASIMM
71	07-Jul-2017	19:50	Philip Swannell	Work in modISDASIMM
70	06-Jul-2017	18:10	Philip Swannell	Changes to ISDASIMMCrossAssetCorrelations
